Fluss;Land;_area;_length;dissolve;scalerank;featurecla;name_alt;rivernum;note;labelrank;sov_a3;adm0_dif;level;type;admin;adm0_a3;geou_dif;geounit;gu_a3;su_dif;subunit;su_a3;brk_diff;name_long;brk_a3;brk_name;brk_group;abbrev;postal;formal_en;formal_fr;note_adm0;note_brk;name_sort;mapcolor7;mapcolor8;mapcolor9;mapcolor13;pop_est;gdp_md_est;pop_year;lastcensus;gdp_year;economy;income_grp;wikipedia;fips_10;iso_a2;iso_a3;iso_n3;un_a3;wb_a2;wb_a3;woe_id;adm0_a3_is;adm0_a3_us;adm0_a3_un;adm0_a3_wb;continent;region_un;subregion;region_wb;name_len;long_len;abbrev_len;tiny;homepart
Paran?;Argentina;278,6810641;1,48E-06;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;6,49E-08;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;3378,721222;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;17726,03257;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;1,84E-07;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;3,90E-06;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;9393,573055;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;24261,0617;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;2657,692218;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;5,67E-07;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;179,6954429;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;14303,95179;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;23200,91561;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;2175,374626;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;5,71E-07;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;3154,341828;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;9,32E-08;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;6,71E-08;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;1,09E-07;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;2,32E-06;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;1,07E-07;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;27388,20085;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;18763,93551;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;27006,10939;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;23766,48165;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;54450,98799;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;13349,34001;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;8058,794292;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;24189,35702;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;60009,24679;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;2411,098919;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;4,20E-08;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;6,62E-07;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;38541,15235;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;6759,651334;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;65552,00544;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;2471,069819;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;173788,4512;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
